DirectorID,First,Middle,Last,URL,YOB,CountryID
134,Michael,,Bay,https://www.imdb.com/name/nm0000881/,,
135,Michael,,Mann,https://www.imdb.com/name/nm0000520/,1943,23
136,Michael,Patrick,King,https://www.imdb.com/name/nm0455078/,1954,23
137,Mike,,Mitchell,https://www.imdb.com/name/nm0593610/,,
138,Mike,,Newell,https://www.imdb.com/name/nm0001565/,1942,22
139,Nancy,,Meyers,https://www.imdb.com/name/nm0583600/,1949,23
140,Nathan,,Greno,https://www.imdb.com/name/nm1977355/,,
141,Neill,,Blomkamp,https://www.imdb.com/name/nm0088955/,1979,18
142,Nick,,Park,https://www.imdb.com/name/nm0661910/,1958,22
143,Paul,,Feig,https://www.imdb.com/name/nm0082450/,1962,23
144,Paul,,Greengrass,https://www.imdb.com/name/nm0339030/,1955,22
145,Paula,,Van der Oest,https://www.imdb.com/name/nm0644309/,,
146,Pete,,Docter,https://www.imdb.com/name/nm0230032/,1968,23
147,Peter,,Berg,https://www.imdb.com/name/nm0000916/,1964,23
148,Peter,,Jackson,https://www.imdb.com/name/nm0001392/,1961,16
149,Peter,,Lord,https://www.imdb.com/name/nm0520485/,1953,22
150,Peter,,Segal,https://www.imdb.com/name/nm0781842/,1962,23
151,Peyton,,Reed,https://www.imdb.com/name/nm0715636/,1964,23
152,Phil,,Lord,https://www.imdb.com/name/nm0520488/,1975,23
153,Phillip,,Noyce,https://www.imdb.com/name/nm0637518/,1950,1
154,Phyllida,,Lloyd,https://www.imdb.com/name/nm1630273/,1957,22
155,Pierre,,Coffin,https://www.imdb.com/name/nm1853544/,1967,8
156,Quentin,,Tarantino,https://www.imdb.com/name/nm0000233/,1963,23
157,Rachid,,Bouchareb,https://www.imdb.com/name/nm0098953/,1959,8
158,Rawson,Marshall,Thurber,https://www.imdb.com/name/nm1098493/,1975,23
159,Rian,,Johnson,https://www.imdb.com/name/nm0426059/,1973,23
160,Rich,,Moore,https://www.imdb.com/name/nm0601781/,,
161,Ridley,,Scott,https://www.imdb.com/name/nm0000631/,1937,22
162,Rob,,Cohen,https://www.imdb.com/name/nm0003418/,,
163,Rob,,Marshall,https://www.imdb.com/name/nm0551128/,1960,23
164,Robert,,Stromberg,https://www.imdb.com/name/nm0834902/,1965,4
165,Robert,,Zemeckis,https://www.imdb.com/name/nm0000709/,1951,23
166,Roland,,Emmerich,https://www.imdb.com/name/nm0000386/,,
167,Ron,,Clements,https://www.imdb.com/name/nm0166256/,1953,23
168,Ron,,Howard,https://www.imdb.com/name/nm0000165/,1954,23
169,Rupert,,Sanders,https://www.imdb.com/name/nm2782185/,1971,22
170,Rupert,,Wyatt,https://www.imdb.com/name/nm1012501/,1972,22
171,Ryan,,Coogler,https://www.imdb.com/name/nm3363032/,1986,23
172,Sam,,Mendes,https://www.imdb.com/name/nm0005222/,1965,22
173,Sam,,Raimi,https://www.imdb.com/name/nm0000600/,1959,23
174,Scott,,Derrickson,https://www.imdb.com/name/nm0220600/,1966,23
175,Seth,,Gordon,https://www.imdb.com/name/nm1164861/,1976,23
176,Seth,,MacFarlane,https://www.imdb.com/name/nm0532235/,,
177,Seth,,Rogen,https://www.imdb.com/name/nm0736622/,,
178,Shane,,Black,https://www.imdb.com/name/nm0000948/,1961,23
179,Simon,J.,Smith,https://www.imdb.com/name/nm0971239/,,22
180,Steve,,Hickner,https://www.imdb.com/name/nm9054338/,,23
181,Steven,,Soderbergh,https://www.imdb.com/name/nm0001752/,1963,23
182,Steven,,Spielberg,https://www.imdb.com/name/nm0000229/,1946,23
183,Tate,,Taylor,https://www.imdb.com/name/nm0853238/,,
184,Tim,,Burton,https://www.imdb.com/name/nm0000318/,1958,23
185,Tim,,Miller,https://www.imdb.com/name/nm1783265/,1964,23
186,Timur,,Bekmambetov,https://www.imdb.com/name/nm0067457/,,
187,Todd,,Phillips,https://www.imdb.com/name/nm0680846/,,
188,Tom,,Hooper,https://www.imdb.com/name/nm0393799/,1972,22
189,Tom,,McGrath,https://www.imdb.com/name/nm0569891/,1964,23
190,Tommy,,Wiseau,https://www.imdb.com/name/nm1382072/,,
191,Tony,,Gilroy,https://www.imdb.com/name/nm0006904/,,
192,Vicky,,Jenson,https://www.imdb.com/name/nm0421776/,1960,23
193,Walt,,Dohrn,https://www.imdb.com/name/nm0230666/,,
194,Wes,,Ball,https://www.imdb.com/name/nm1226871/,1980,23
195,Wolfgang,,Petersen,https://www.imdb.com/name/nm0000583/,,
196,Yôji,,Yamada,https://www.imdb.com/name/nm0945282/,,
197,Zack,,Snyder,https://www.imdb.com/name/nm0811583/,1966,23
